"publication_place","country","longitude","latitude","chosen_id"
"Córdoba","Spain",-4.766667,37.883333,"<http://vocab.getty.edu/tgn/7007513>"
"Köthen","Germany",13.933333,52.8,"<http://vocab.getty.edu/tgn/7144995>"
"Cottbus","Germany",14.3341666666667,51.7605555555556,"<http://dbpedia.org/resource/Cottbus>"
"Coutances","France",-1.44,49.05,"<http://dbpedia.org/resource/Coutances>"
"Kraków","Poland",19.9167,50.05,"<http://vocab.getty.edu/tgn/7007652>"
"Cremona","Italy",10.033333333,45.133333333,"<http://www.wikidata.org/entity/Q6231>"
"Zwickau","Germany",12.496111111,50.718888888,"<http://www.wikidata.org/entity/Q3778>"
"Delitzsch","Germany",12.3425,51.5263888888889,"<http://dbpedia.org/resource/Delitzsch>"
"Tortona","Italy",8.86555555555556,44.8941666666667,"<http://dbpedia.org/resource/Tortona>"
"Die","France",5.371107,44.753901,"<http://vocab.getty.edu/tgn/7009141>"
"Dillingen","Germany",6.733333,49.35,"<http://vocab.getty.edu/tgn/1038818>"
"Dôle","France",5.493003,47.092847,"<http://vocab.getty.edu/tgn/7009146>"
"Cheb","Czechia",12.4667,50.1333,"<http://vocab.getty.edu/tgn/7010618>"
"Eisenach","Germany",10.3205555555556,50.9761111111111,"<http://dbpedia.org/resource/Eisenach>"
"Eisenberg","Germany",11.9,50.966667,"<http://vocab.getty.edu/tgn/1036648>"
"Eisleben","Germany",11.216667,52.15,"<http://vocab.getty.edu/tgn/1036645>"
"Elberfeld","Germany",7.14917,51.2572,"<http://www.wikidata.org/entity/Q1325222>"
"Elbing","Poland",19.4167,54.1667,"<http://vocab.getty.edu/tgn/7007656>"
"Epinal","France",6.453043,48.18324,"<http://vocab.getty.edu/tgn/7008416>"
"Osijek","Croatia",18.6795888888889,45.5575305555556,"<http://dbpedia.org/resource/Osijek>"
"Essen","Germany",7.013055555,51.450833333,"<http://www.wikidata.org/entity/Q2066>"
"Esslingen","Germany",9.3,48.75,"<http://vocab.getty.edu/tgn/7012928>"
"Evreux","France",1.155517,49.023288,"<http://vocab.getty.edu/tgn/7008924>"
"Faenza","Italy",11.883333,44.283333,"<http://vocab.getty.edu/tgn/7004995>"
"Fano","Italy",13.0166666666667,43.8333333333333,"<http://dbpedia.org/resource/Fano>"
"Fermo","Italy",13.7181,43.160419444,"<http://www.wikidata.org/entity/Q13139>"
"Ferrara","Italy",11.6166666666667,44.8333333333333,"<http://dbpedia.org/resource/Ferrara>"
"Ferriere","Italy",9.49657,44.64385,"<http://www.wikidata.org/entity/Q102727>"
"La Flèche","France",-1.184083,47.977254,"<http://vocab.getty.edu/tgn/7641480>"
"Foligno","Italy",12.7,42.95,"<http://vocab.getty.edu/tgn/7005040>"
"Frankfurt an der Oder","Germany",14.55,52.35,"<http://vocab.getty.edu/tgn/7005972>"
"Freiberg","Germany",13.3427777777778,50.9119444444444,"<http://dbpedia.org/resource/Freiberg>"
"Freistadt","Austria",14.5061111111111,48.5116666666667,"<http://dbpedia.org/resource/Freistadt>"
"Freyburg","Germany",11.766667,51.2,"<http://vocab.getty.edu/tgn/1036721>"
"Freising","Germany",11.748888888,48.402777777,"<http://www.wikidata.org/entity/Q6998>"
"Fulda","Germany",9.67527777777778,50.5508333333333,"<http://dbpedia.org/resource/Fulda>"
"Giesen","Germany",9.89722,52.1967,"<http://www.wikidata.org/entity/Q2700418>"
"Giessen","Germany",8.65,50.583333,"<http://vocab.getty.edu/tgn/7004429>"
"Glatz","Poland",16.6667,50.4667,"<http://vocab.getty.edu/tgn/7007687>"
"Goslar","Germany",10.429163,51.906003,"<http://www.wikidata.org/entity/Q3896>"
"Graz","Austria",15.4333333333333,47.0666666666667,"<http://dbpedia.org/resource/Graz>"
"Guben","Germany",14.716666666,51.953333333,"<http://www.wikidata.org/entity/Q494747>"
"Hadamar","Germany",8.05,50.45,"<http://vocab.getty.edu/tgn/7012485>"
"Haguenau","France",7.787777777,48.816666666,"<http://www.wikidata.org/entity/Q22730>"
"Hagenau","France",7.786232,48.814228,"<http://vocab.getty.edu/tgn/7008077>"
"Halle an der Saale","Germany",12,51.5,"<http://vocab.getty.edu/tgn/1036898>"
"Hamm","Germany",7.81666666666667,51.6833333333333,"<http://dbpedia.org/resource/Hamm>"
"Wolfenbüttel","Germany",10.55,52.166667,"<http://vocab.getty.edu/tgn/7005253>"
"Würzburg","Germany",9.936111,49.787778,"<http://vocab.getty.edu/tgn/7004335>"
"Herborn","Germany",8.306111111,50.6825,"<http://www.wikidata.org/entity/Q18998>"
"'s Hertogenbosch","Netherlands",5.316667,51.7,"<http://vocab.getty.edu/tgn/7006837>"
"Hildesheim","Germany",9.95,52.15,"<http://www.wikidata.org/entity/Q3185>"
"Sevilla","Spain",-5.98694444444444,37.3772222222222,"<http://dbpedia.org/resource/Seville>"
"Hof","Germany",11.916667,50.316667,"<http://vocab.getty.edu/tgn/7012508>"
"Ilfeld","Germany",10.7872222222222,51.5772222222222,"<http://dbpedia.org/resource/Ilfeld>"
"Ilmenau","Germany",10.914166666,50.687222222,"<http://www.wikidata.org/entity/Q205929>"
"Imola","Italy",11.7143731944444,44.3534443888889,"<http://dbpedia.org/resource/Imola>"
"Innsbruck","Austria",11.393333333,47.268333333,"<http://www.wikidata.org/entity/Q1735>"
"Isny im Allgäu","Germany",10.033333,47.7,"<http://vocab.getty.edu/tgn/7006097>"
"Jawor","Poland",16.183333333,51.05,"<http://www.wikidata.org/entity/Q731805>"
"Naumburg","Germany",11.8166666666667,51.15,"<http://dbpedia.org/resource/Naumburg>"
"Iesi","Italy",13.2391666666667,43.5236111111111,"<http://dbpedia.org/resource/Iesi>"
"Labach","Germany",6.866667,49.366667,"<http://vocab.getty.edu/tgn/7150874>"
"Laibach","Slovenia",14.5,46.0667,"<http://vocab.getty.edu/tgn/7012986>"
"Landshut","Germany",12.150833333,48.539722222,"<http://www.wikidata.org/entity/Q3974>"
"Bad Langensalza","Germany",10.646666666,51.108055555,"<http://www.wikidata.org/entity/Q518368>"
"Langres","France",5.333055555,47.8625,"<http://www.wikidata.org/entity/Q203293>"
"Laon","France",3.6244,49.5639,"<http://dbpedia.org/resource/Laon>"
"Lauingen","Germany",10.433333,48.566667,"<http://vocab.getty.edu/tgn/7012568>"
"Lecce","Italy",18.169138888,40.352011111,"<http://www.wikidata.org/entity/Q13386>"
"Legnica","Poland",16.1602777777778,51.2083333333333,"<http://dbpedia.org/resource/Legnica>"
"Weissenfels","Germany",11.9667,51.2,"<http://vocab.getty.edu/tgn/1037949>"
"Liegnitz","Poland",16.1667,51.2,"<http://vocab.getty.edu/tgn/7007726>"
"Lima","Peru",-77.033333333,-12.05,"<http://www.wikidata.org/entity/Q2868>"
"Limoges","France",1.261666666,45.834444444,"<http://www.wikidata.org/entity/Q45656>"
"Lindau","Germany",9.68333333333333,47.5472222222222,"<http://dbpedia.org/resource/Lindau>"
"Linz","Austria",14.2833333333333,48.3,"<http://dbpedia.org/resource/Linz>"
"Leszno","Poland",16.5833,51.85,"<http://vocab.getty.edu/tgn/1049207>"
"Lodi","Italy",9.5,45.316667,"<http://vocab.getty.edu/tgn/7006011>"
"Lons-le-Saunier","France",5.5544,46.6753,"<http://dbpedia.org/resource/Lons-le-Saunier>"
"Lübben","Germany",13.9,51.95,"<http://vocab.getty.edu/tgn/1037143>"
"Ljubljana","Slovenia",14.5083333333333,46.0555555555556,"<http://dbpedia.org/resource/Ljubljana>"
"Lublin","Poland",22.5702777777778,51.2480555555556,"<http://dbpedia.org/resource/Lublin>"
"Ludwigslust","Germany",11.4972222222222,53.3244444444444,"<http://dbpedia.org/resource/Ludwigslust>"
"Lugo","Italy",11.9,44.416667,"<http://vocab.getty.edu/tgn/7005035>"
"Lüneburg","Germany",10.4,53.25,"<http://vocab.getty.edu/tgn/7004436>"
"Lucerne","Switzerland",8.3,47.05,"<http://dbpedia.org/resource/Lucerne>"
"Macerata","Italy",13.45,43.3,"<http://vocab.getty.edu/tgn/7004018>"
"Málaga","Spain",-4.416667,36.716667,"<http://vocab.getty.edu/tgn/7007942>"
"Mallorca","Spain",3,39.5,"<http://vocab.getty.edu/tgn/7007959>"
"Manila","Philippine",120.9667,14.6167,"<http://vocab.getty.edu/tgn/7003706>"
"Mantua","Italy",10.791111111,45.156388888,"<http://www.wikidata.org/entity/Q6247>"
"Meaux","France",2.8883,48.9603,"<http://dbpedia.org/resource/Meaux>"
"Medina del Campo","Spain",-4.916667,41.3,"<http://vocab.getty.edu/tgn/7008033>"
"Meiningen","Germany",10.4166666666667,50.55,"<http://dbpedia.org/resource/Meiningen>"
"Meissen","Germany",13.4775,51.163611111,"<http://www.wikidata.org/entity/Q8738>"
"Memmingen","Germany",10.181111111,47.987777777,"<http://www.wikidata.org/entity/Q14825>"
"Merseburg","Germany",12,51.3666666666667,"<http://dbpedia.org/resource/Merseburg>"
"Metz","France",6.176944444,49.119722222,"<http://www.wikidata.org/entity/Q22690>"
"Mexico","Mexico",-99.138611,19.434167,"<http://vocab.getty.edu/tgn/7007227>"
"Minden","Germany",8.91666666666667,52.2833333333333,"<http://dbpedia.org/resource/Minden>"
"Modena","Italy",10.9333333333333,44.65,"<http://dbpedia.org/resource/Modena>"
"Monaco","Monaco",7.3833,43.75,"<http://vocab.getty.edu/tgn/7011066>"
"Mondovi","Italy",7.816667,44.383333,"<http://vocab.getty.edu/tgn/7005651>"
"Montbéliard","France",6.798629,47.510316,"<http://vocab.getty.edu/tgn/7009347>"
"Morges","Switzerland",6.495693,46.511255,"<http://vocab.getty.edu/tgn/7007414>"
"Mühlhausen","Germany",10.45,51.216667,"<http://vocab.getty.edu/tgn/7005939>"
"Mulhouse","France",7.339166666,47.748611111,"<http://www.wikidata.org/entity/Q79815>"
"Cartagena","Spain",-5.433333,36.2,"<http://vocab.getty.edu/tgn/6001191>"
"Pont-à-Mousson","France",6.058897,48.907861,"<http://vocab.getty.edu/tgn/7009438>"
"Neubrandenburg","Germany",13.2611111111111,53.5569444444444,"<http://dbpedia.org/resource/Neubrandenburg>"
"Neustadt","Germany",8.137778,49.356667,"<http://vocab.getty.edu/tgn/7004417>"
"Neustrelitz","Germany",13.0636111111111,53.3647222222222,"<http://dbpedia.org/resource/Neustrelitz>"
"Neuwied","Germany",7.46138888888889,50.4286111111111,"<http://dbpedia.org/resource/Neuwied>"
"Nevers","France",3.156666666,46.9925,"<http://www.wikidata.org/entity/Q166997>"
"Niort","France",-0.462222222,46.325,"<http://www.wikidata.org/entity/Q184159>"
"Novara","Italy",8.61666666666667,45.45,"<http://dbpedia.org/resource/Novara>"
"Noyon","France",2.9997,49.5817,"<http://dbpedia.org/resource/Noyon>"
"Nysa","Poland",17.334,50.473,"<http://vocab.getty.edu/tgn/1049304>"
"Oberursel","Germany",8.583333,50.2,"<http://vocab.getty.edu/tgn/7012626>"
"Oels","Poland",17.35,51.2,"<http://vocab.getty.edu/tgn/1049316>"
"Olomouc","Czechia",17.166,49.75,"<http://vocab.getty.edu/tgn/7593917>"
"Anspach","Germany",8.516667,50.3,"<http://vocab.getty.edu/tgn/7064042>"
"Oppenheim","Germany",8.36027777777778,49.8555555555556,"<http://dbpedia.org/resource/Oppenheim>"
"Orihuela","Spain",-0.946944444444444,38.0855555555556,"<http://dbpedia.org/resource/Orihuela>"
"Paderborn","Germany",8.766667,51.716667,"<http://vocab.getty.edu/tgn/7005101>"
"Palma","Spain",2.65,39.566667,"<http://vocab.getty.edu/tgn/7008232>"
"Pamplona","Spain",-1.65,42.8166666666667,"<http://dbpedia.org/resource/Pamplona>"
"Pavia","Italy",9.155,45.185280555,"<http://www.wikidata.org/entity/Q6259>"
"Passau","Germany",13.4666666666667,48.5666666666667,"<http://dbpedia.org/resource/Passau>"
"Pau","France",-0.37,43.3,"<http://dbpedia.org/resource/Pau,_Pyrénées-Atlantiques>"
"Penig","Germany",12.7058333333333,50.9336111111111,"<http://dbpedia.org/resource/Penig>"
"Perpignan","France",2.894722222,42.6975,"<http://www.wikidata.org/entity/Q6730>"
"Pesaro","Italy",12.9133,43.91015,"<http://www.wikidata.org/entity/Q13134>"
"Saint Petersburg","Russia",30.3,59.95,"<http://dbpedia.org/resource/Saint_Petersburg>"
"Pforzheim","Germany",8.705,48.895,"<http://www.wikidata.org/entity/Q3046>"
"Piacenza","Italy",9.70055555555555,45.0477777777778,"<http://dbpedia.org/resource/Piacenza>"
"Valladolid","Spain",-4.72361111111111,41.6527777777778,"<http://dbpedia.org/resource/Valladolid>"
"Ponts","Spain",1.185612,41.915639,"<http://vocab.getty.edu/tgn/1062356>"
"Bratislava","Slovakia",17.112777777,48.144722222,"<http://www.wikidata.org/entity/Q1780>"
"Prato","Italy",11.096561111,43.880813888,"<http://www.wikidata.org/entity/Q13377>"
"Prenzlau","Germany",13.866667,53.316667,"<http://vocab.getty.edu/tgn/1037511>"
"Ragusa","Italy",14.730555555,36.925,"<http://www.wikidata.org/entity/Q13674>"
"Ratzeburg","Germany",10.756666666,53.701666666,"<http://www.wikidata.org/entity/Q490025>"
"Rieti","Italy",12.856702,42.40443,"<http://www.wikidata.org/entity/Q13396>"
"Reggio Emilia","Italy",10.633333333,44.7,"<http://www.wikidata.org/entity/Q13360>"
"Reutlingen","Germany",9.216667,48.483333,"<http://vocab.getty.edu/tgn/7012674>"
"Rinteln","Germany",9.081388888,52.190555555,"<http://www.wikidata.org/entity/Q498571>"
"Riom","France",3.1125,45.893611111,"<http://www.wikidata.org/entity/Q207575>"
"Riva del Garda","Italy",10.84117,45.88577,"<http://www.wikidata.org/entity/Q30029393>"
"Rodez","France",2.575,44.3506,"<http://dbpedia.org/resource/Rodez>"
"Rudolstadt","Germany",11.3275,50.716944444,"<http://www.wikidata.org/entity/Q517107>"
"Saint-Brieuc","France",-2.7653,48.5136,"<http://dbpedia.org/resource/Saint-Brieuc>"
"Salzburg","Austria",13.04768,47.7972,"<http://www.wikidata.org/entity/Q34713>"
"Saumur","France",-0.078055555,47.259166666,"<http://www.wikidata.org/entity/Q193821>"
"Thessaloniki","Greece",22.943889,40.640278,"<http://vocab.getty.edu/tgn/7011182>"
"Santiago","Mexico",-99.083333,18.95,"<http://vocab.getty.edu/tgn/7437062>"
"Schaffhausen","Switzerland",8.634929,47.697316,"<http://vocab.getty.edu/tgn/7007462>"
"Schleswig-Holstein","Germany",9.51388888888889,54.47,"<http://dbpedia.org/resource/Schleswig-Holstein>"
"Schleusingen","Germany",10.75,50.5166666666667,"<http://dbpedia.org/resource/Schleusingen>"
"Schmalkalden","Germany",10.45,50.716667,"<http://vocab.getty.edu/tgn/7012867>"
"Schneeberg","Germany",12.633333,50.6,"<http://vocab.getty.edu/tgn/7012868>"
"Schnepfenthal","Germany",10.5786,50.8814,"<http://www.wikidata.org/entity/Q2247926>"
"Schwabach","Germany",11.0208333333333,49.3291666666667,"<http://dbpedia.org/resource/Schwabach>"
"Schweidnitz","Poland",16.4833,50.25,"<http://vocab.getty.edu/tgn/7007556>"
"Sedini","Italy",8.81666666666667,40.85,"<http://dbpedia.org/resource/Sedini>"
"Segovia","Spain",-4.116667,40.95,"<http://vocab.getty.edu/tgn/7008661>"
"Sopron","Hungary",16.583333333,47.683333333,"<http://www.wikidata.org/entity/Q168648>"
"Senlis","France",2.5875,49.2081,"<http://dbpedia.org/resource/Senlis>"
"Sens","France",3.2877,48.1975,"<http://dbpedia.org/resource/Sens>"
"Serampore","India",88.34,22.75,"<http://www.wikidata.org/entity/Q1815367>"
"Zerbst","Germany",12.083333,51.966667,"<http://vocab.getty.edu/tgn/7012892>"
"Soissons","France",3.3236,49.3817,"<http://dbpedia.org/resource/Soissons>"
"Sondershausen","Germany",10.866667,51.366667,"<http://vocab.getty.edu/tgn/1037748>"
"Zary","Poland",15.1667,51.6667,"<http://vocab.getty.edu/tgn/1048863>"
"Speyer","Germany",8.43111111111111,49.3194444444444,"<http://dbpedia.org/resource/Speyer>"
"Stargard","Poland",15.0333333333333,53.3333333333333,"<http://dbpedia.org/resource/Stargard>"
"Stendal","Germany",11.85,52.6,"<http://vocab.getty.edu/tgn/7012875>"
"Stolberg (Rhineland)","Germany",6.23333333333333,50.7666666666667,"<http://dbpedia.org/resource/Stolberg_(Rhineland)>"
"Straubing","Germany",12.566667,48.883333,"<http://vocab.getty.edu/tgn/7004413>"
"Sulzbach","Germany",7.066667,49.3,"<http://vocab.getty.edu/tgn/7012338>"
"Schweinfurt","Germany",10.233333333,50.05,"<http://www.wikidata.org/entity/Q4126>"
"Tarragona","Spain",1.25,41.116667,"<http://vocab.getty.edu/tgn/7008715>"
"Treviso","Italy",12.245,45.666667,"<http://vocab.getty.edu/tgn/7003297>"
"Tegernsee","Germany",11.756944444,47.708611111,"<http://www.wikidata.org/entity/Q260130>"
"Thorn","Poland",18.5833,53.0167,"<http://vocab.getty.edu/tgn/7007831>"
"Todi","Italy",12.416666666,42.783333333,"<http://www.wikidata.org/entity/Q20579>"
"Toledo","Spain",-4.02444444444444,39.8566666666667,"<http://dbpedia.org/resource/Toledo,_Spain>"
"Torgau","Germany",13.0055555555556,51.5602777777778,"<http://dbpedia.org/resource/Torgau>"
"Tournai","Belgium",3.38333333333333,50.6,"<http://dbpedia.org/resource/Tournai>"
"Toul","France",5.8917,48.675,"<http://dbpedia.org/resource/Toul>"
"Toulon","France",5.930555555,43.125,"<http://www.wikidata.org/entity/Q44160>"
"Tournay","France",0.245555555,43.184166666,"<http://www.wikidata.org/entity/Q1099874>"
"Tournon","France",6.302445,45.642052,"<http://vocab.getty.edu/tgn/7603408>"
"Tours","France",0.6892,47.3936,"<http://dbpedia.org/resource/Tours>"
"Trento","Italy",11.11666667,46.06666667,"<http://www.wikidata.org/entity/Q3376>"
"Opava","Serbian",20.423,45.052,"<http://vocab.getty.edu/tgn/7031503>"
"Troyes","France",4.0792,48.2997,"<http://dbpedia.org/resource/Troyes>"
"Trnava","Slovakia",17.586211111,48.37775,"<http://www.wikidata.org/entity/Q26175>"
"Udine","Italy",13.233333333,46.066666666,"<http://www.wikidata.org/entity/Q2790>"
"Urbino","Italy",12.633333,43.716667,"<http://vocab.getty.edu/tgn/7003994>"
"Ursel","Belgium",3.48655,51.128953,"<http://vocab.getty.edu/tgn/7253634>"
"Prag","Czech",14.4333,50.1,"<http://vocab.getty.edu/tgn/7006464>"
"Valence","France",4.895103,44.92801,"<http://vocab.getty.edu/tgn/7008757>"
"Valenciennes","France",3.525,50.359166666,"<http://www.wikidata.org/entity/Q163795>"
"Vannes","France",-2.7603,47.6559,"<http://dbpedia.org/resource/Vannes>"
"Vence","France",7.111862222,43.722465555,"<http://www.wikidata.org/entity/Q192368>"
"Vercelli","Italy",8.416667,45.316667,"<http://vocab.getty.edu/tgn/7005662>"
"Wernigerode","Germany",10.785277777,51.835,"<http://www.wikidata.org/entity/Q15982>"
"Wetzlar","Germany",8.5,50.566666666,"<http://www.wikidata.org/entity/Q4178>"
"Veneto","Italy",12.225556,45.698889,"<http://vocab.getty.edu/tgn/7034975>"
"Viterbo","Italy",12.1,42.416667,"<http://vocab.getty.edu/tgn/7000875>"
"Zagreb","Croatia",15.9667,45.8,"<http://vocab.getty.edu/tgn/7015558>"
"Celle","Italy",15.4,40.1,"<http://vocab.getty.edu/tgn/7043534>"
"Kirkbride","Scotland",-4.925289733,54.720380811,"<http://www.wikidata.org/entity/Q56620085>"
"Prague","Czech Republic",14.4166666666667,50.0833333333333,"<http://dbpedia.org/resource/Prague>"
"Urjala","Finland",23.5333,61.0833,"<http://vocab.getty.edu/tgn/1031590>"
"Vainikkala","Finland",28.299722222,60.866111111,"<http://www.wikidata.org/entity/Q820629>"
"Vantaa","Finland",24.95,60.3,"<http://vocab.getty.edu/tgn/1031600>"
"Viitasaari","Finland",25.7833,63.1,"<http://vocab.getty.edu/tgn/1031614>"
"Virolahti","Finland",27.7,60.583333333,"<http://www.wikidata.org/entity/Q534072>"
"Ylimarkku","Finland",21.4333,62.6167,"<http://vocab.getty.edu/tgn/1031260>"
"Ylistaro","Finland",22.5,62.9667,"<http://vocab.getty.edu/tgn/1031629>"
"Ylivieska","Finland",24.5,64.0833,"<http://vocab.getty.edu/tgn/1031630>"
"La Chapelle-Montligeon","France",0.653333333,48.483611111,"<http://www.wikidata.org/entity/Q1047591>"
"Torgelow","Germany",14,53.6166666666667,"<http://dbpedia.org/resource/Torgelow>"
"Weida","Germany",12.066667,50.766667,"<http://vocab.getty.edu/tgn/1037943>"
"Ravenna","Italy",12.2,44.4166666666667,"<http://dbpedia.org/resource/Ravenna>"
"Vicenza","Italy",11.55,45.55,"<http://vocab.getty.edu/tgn/7003204>"
"Oniipa","Namibia",16.041111111,-17.911944444,"<http://www.wikidata.org/entity/Q2024282>"
"Poznan","Poland",16.8833,52.4167,"<http://vocab.getty.edu/tgn/7007756>"
"Oradea","Romania",21.921111111,47.072222222,"<http://www.wikidata.org/entity/Q93358>"
"Kirov","Russia",49.6333,58.6333,"<http://vocab.getty.edu/tgn/7014842>"
"Tomsk","Russia",84.9666666666667,56.5,"<http://dbpedia.org/resource/Tomsk>"
"Kharkiv","Ukraine",36.2313888888889,50.0044444444444,"<http://dbpedia.org/resource/Kharkiv>"
"Almena Wi","USA",-92.0167,45.4167,"<http://vocab.getty.edu/tgn/2120596>"
"Calumet Mi","USA",-88.45,47.2333,"<http://vocab.getty.edu/tgn/2051435>"
"Chisholm MN","USA",-92.8833,47.4833,"<http://vocab.getty.edu/tgn/2054133>"
"Clear Creek UT","USA",-111.15,39.6333,"<http://vocab.getty.edu/tgn/2108773>"
"Fitchburg Ma","USA",-71.802777777,42.583333333,"<http://www.wikidata.org/entity/http://www.wikidata.org/entity/Q54182>"
"Hancock Mi","USA",-88.5667,47.1167,"<http://vocab.getty.edu/tgn/2052121>"
"Hanna WY","USA",-106.55,41.8667,"<http://vocab.getty.edu/tgn/2122970>"
"Houghton Mi","USA",-88.5667,47.1167,"<http://vocab.getty.edu/tgn/2052218>"
"Kaleva Mi","USA",-86,44.3667,"<http://vocab.getty.edu/tgn/2052326>"
"New York Mills Mn","USA",-95.3667,46.5167,"<http://vocab.getty.edu/tgn/2055117>"
"Red Jacket Mi","USA",-88.45,47.2333,"<http://vocab.getty.edu/tgn/2051435>"
"Red Lodge MT","USA",-109.2333,45.1833,"<http://vocab.getty.edu/tgn/2061654>"
"Rock Springs WY","USA",-109.2,41.5833,"<http://vocab.getty.edu/tgn/2123143>"
"Sandstone Mi","USA",-84.5167,42.25,"<http://vocab.getty.edu/tgn/2053255>"
"Turtle Lake Wi","USA",-92.1333,45.3833,"<http://vocab.getty.edu/tgn/2122569>"
"Virginia Mn","USA",-92.5333,47.5167,"<http://vocab.getty.edu/tgn/2055676>"
"Watton Mi","USA",-88.6,46.5333,"<http://vocab.getty.edu/tgn/2053658>"
"Kaliningrad","Russia",20.4530555555556,54.7002777777778,"<http://dbpedia.org/resource/Kaliningrad>"
"Aarau","Switzerland",8.0446,47.3923,"<http://www.wikidata.org/entity/Q14274>"
"Agen","France",0.6212,44.2049,"<http://dbpedia.org/resource/Agen>"
"Altdorf bei Nürnberg","Germany",11.357222,49.3875,"<http://vocab.getty.edu/tgn/1038166>"
"Amberg","Germany",11.8483333333333,49.4444444444444,"<http://dbpedia.org/resource/Amberg>"
"Angers","France",-0.554167,47.473612,"<http://dbpedia.org/resource/Angers>"
"Puebla de Zaragoza","Mexico",-98.2,19.05,"<http://vocab.getty.edu/tgn/7007118>"
"Angoulême","France",0.15,45.65,"<http://vocab.getty.edu/tgn/7008565>"
"Annaberg","Germany",13,50.566667,"<http://vocab.getty.edu/tgn/7012791>"
"Ansbach","Germany",10.583333333,49.3,"<http://www.wikidata.org/entity/Q14859>"
"L'Aquila","Italy",13.391991666,42.354008333,"<http://www.wikidata.org/entity/Q3476>"
"Rimini","Italy",12.568333333,44.059444444,"<http://www.wikidata.org/entity/Q13369>"
"Arles","France",4.628611111,43.676944444,"<http://www.wikidata.org/entity/Q48292>"
"Aschersleben","Germany",11.4666666666667,51.75,"<http://dbpedia.org/resource/Aschersleben>"
"Ascoli","Italy",13.566667,42.85,"<http://vocab.getty.edu/tgn/7004025>"
"Assisi","Italy",12.6175,43.07,"<http://www.wikidata.org/entity/Q20103>"
"Jerez de la Frontera","Spain",-6.11666666666667,36.7,"<http://dbpedia.org/resource/Jerez_de_la_Frontera>"
"Asti","Italy",8.2,44.9,"<http://vocab.getty.edu/tgn/7005610>"
"Poitiers","France",0.335277777,46.581111111,"<http://www.wikidata.org/entity/Q6616>"
"Auxerre","France",3.5672,47.7986,"<http://dbpedia.org/resource/Auxerre>"
"Bale","Croatia",13.7833,45.0333,"<http://vocab.getty.edu/tgn/1064911>"
"Bamberg","Germany",10.891666666,49.891666666,"<http://www.wikidata.org/entity/Q3936>"
"Bar-le-Duc","France",5.161085,48.772749,"<http://vocab.getty.edu/tgn/7008983>"
"Barmen","Germany",6.3,50.95,"<http://vocab.getty.edu/tgn/7208956>"
"Bassano del Grappa","Italy",11.733333,45.766667,"<http://vocab.getty.edu/tgn/7003261>"
"Bautzen","Germany",14.4241666666667,51.1813888888889,"<http://dbpedia.org/resource/Bautzen>"
"Bayonne","France",-1.48,43.49,"<http://dbpedia.org/resource/Bayonne>"
"Belluno","Italy",12.2166666666667,46.1402777777778,"<http://dbpedia.org/resource/Belluno>"
"Benevento","Italy",14.75,41.133333,"<http://vocab.getty.edu/tgn/7004393>"
"Bergamo","Italy",9.67,45.695,"<http://www.wikidata.org/entity/Q628>"
"Bernburg","Germany",11.733333333,51.8,"<http://www.wikidata.org/entity/Q14938>"
"Béziers","France",3.222374,43.345287,"<http://vocab.getty.edu/tgn/7017414>"
"Bourges","France",2.3964,47.0844,"<http://dbpedia.org/resource/Bourges>"
"Bourg","France",5.227911,46.20445,"<http://vocab.getty.edu/tgn/7012558>"
"Brieg","Poland",17.4667,50.35,"<http://vocab.getty.edu/tgn/7007623>"
"Brescia","Italy",10.220280555,45.538888888,"<http://www.wikidata.org/entity/Q6221>"
"Wroclaw","Poland",17,51.1,"<http://vocab.getty.edu/tgn/7007601>"
"Saarbrücken","Germany",7,49.233333,"<http://vocab.getty.edu/tgn/7004454>"
"Genoa","Italy",8.93277777777778,44.4111111111111,"<http://dbpedia.org/resource/Genoa>"
"Ashby","England",-0.116667,53.483333,"<http://vocab.getty.edu/tgn/7027860>"
"Blandford","England",-2.166667,50.866667,"<http://vocab.getty.edu/tgn/7011286>"
"Leominster","England",-2.733333,52.233333,"<http://vocab.getty.edu/tgn/1029819>"
"Northwich","England",-2.518,53.259,"<http://www.wikidata.org/entity/Q2009813>"
"Sudbury","England",-0.316667,51.533333,"<http://vocab.getty.edu/tgn/7445868>"
"Waltham","England",-0.1,53.516667,"<http://vocab.getty.edu/tgn/1030986>"
"Boulogne","France",1.604562,50.720702,"<http://vocab.getty.edu/tgn/7016632>"
"Marseilles","France",5.37606,43.285413,"<http://vocab.getty.edu/tgn/7008781>"
"Stabroek","Guyana",-58.1667,6.7667,"<http://vocab.getty.edu/tgn/7005275>"
"Dort","Netherlands",4.666667,51.8,"<http://vocab.getty.edu/tgn/7006798>"
"Irvine","Scotland",-4.666667,55.6,"<http://vocab.getty.edu/tgn/1050766>"
"Musselburgh","Scotland",-3.05,55.943,"<http://dbpedia.org/resource/Musselburgh>"
"Cadiz","Spain",-6.299444,36.533611,"<http://vocab.getty.edu/tgn/7007512>"
"Bethania nc","USA",-80.3333,36.1667,"<http://vocab.getty.edu/tgn/2073690>"
"Blandford va","USA",-77.3833,37.2167,"<http://vocab.getty.edu/tgn/2179580>"
"Bridgeton nj","USA",-74.7833,39.9833,"<http://vocab.getty.edu/tgn/2065526>"
"Canandaigua ny","USA",-77.3333,42.8667,"<http://vocab.getty.edu/tgn/2068331>"
